source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,Ice storm rolls from Texas to Tennessee - I'm in Los Angeles and it's freezing. Global warming is a total and very expensive hoax!,12-06-2013 15:13:56,4435,3082,false,408977616926830592
Twitter for Android,We should be focused on magnificently clean and healthy air and not distracted by the expensive hoax that is global warming!,12-06-2013 15:38:28,345,214,false,408983789830815744
Twitter for Android,This is one of the COLDEST WINTERS ever freezing all over the country for long periods of time! So much for GLOBAL WARMING.,12-12-2013 11:38:59,644,433,false,411097849892728832
Twitter for Android,Wow it's snowing in Isreal and on the pyramids in Egypt. Are we still wasting billions on the global warming con? MAKE U.S. COMPETITIVE!,12-15-2013 00:32:54,749,478,false,412017385345138688
Twitter for Android,59% of the United States by area is now covered in snow-highest % in many years. The "global warming" name isn't working anymore-SORRY!,12-15-2013 09:38:21,590,378,false,412154652286025728
Twitter for Android,They call it "climate change" now because the words "global warming" didn't work anymore. Same people fighting hard to keep it all going!,12-15-2013 09:58:18,384,212,false,412159674042294272
Twitter for Android,We should be focusing on beautiful clean air &amp; not on wasteful &amp; very expensive GLOBAL WARMING bullshit! China &amp; others are hurting our air,12-15-2013 10:07:49,472,393,false,412162068989874176
Twitter for Android,It is really too bad that the scientists studying GLOBAL WARMING in Antarctica got stuck on their icebreaker because of massive ice and cold,12-27-2013 12:02:58,741,438,false,416539702096052224
Twitter for Android,The rescue icebreaker trying to free the ship of the GLOBAL WARMING scientists has turned back-the ice is  massive (a record). IRONIC!,12-28-2013 12:20:47,269,196,false,416906573089619968
Twitter for Android,We should be focused on clean and beautiful air-not expensive and business closing GLOBAL WARMING-a total hoax!,12-28-2013 12:30:27,1472,897,false,416909004984844288
Twitter for Android,The global warming  scientists don't want to be airlifted off the ship-they are having too much fun and that is too simple a solution-FAME!,12-28-2013 12:37:03,103,94,false,416910668798111744
Twitter for Android,Temperature at record lows in many parts of the country. 50 degrees below zero with wind chill in large area. Global warming folks iced in!,12-29-2013 23:08:10,264,276,false,417431882461347840
Twitter for Android,What the hell is going on with GLOBAL WARMING. The planet is freezing the ice is building and the G.W. scientists are stuck-a total con job,12-31-2013 00:34:40,506,303,false,417816035107299328
Twitter for Android,The con artists changed the name from GLOBAL WARMING to CLIMATE CHANGE when GLOBAL WARMING was no longer working and credibility was lost!,12-31-2013 00:44:02,477,319,false,417818392826232832
Twitter for Android,This very expensive GLOBAL WARMING bullshit has got to stop. Our planet is freezing record low tempsand our GW scientists are stuck in ice,01-02-2014 00:39:56,6764,4376,false,418542137899491328
Twitter Web Client,Record snowfall &amp; freezing temps throughout the country. Where is Global Warming when you need it?!,01-03-2014 20:29:47,532,427,false,419203960302366720
Twitter for Android,We are experiencing the coldest weather in more than two decades-most people never remember anything like this. GLOBAL WARMING anyone?,01-06-2014 23:19:41,627,420,false,420333882597466112
Twitter for Android,NBC News just called it the great freeze - coldest weather in years. Is our country still spending money on the GLOBAL WARMING HOAX?,01-25-2014 23:48:11,2164,1099,false,427226424987385856
Twitter for Android,Any and all weather events are used by the GLOBAL WARMING HOAXSTERS to justify higher taxes to save our planet! They don't believe it $$$$!,01-26-2014 21:40:33,674,566,false,427556692109574146
Twitter for Android,Snowing in Texas and Louisiana record setting freezing temperatures throughout the country and beyond. Global warming is an expensive hoax!,01-29-2014 06:27:38,636,500,false,428414113463955457
Twitter for Android,The weather has been so cold for so long that the global warming HOAXSTERS were forced to change the name to climate change to keep $ flow!,01-29-2014 06:36:45,593,395,false,428416406280241153
Twitter for Android,Give me clean beautiful and healthy air - not the same old climate change (global warming) bullshit! I am tired of hearing this nonsense.,01-29-2014 06:44:22,977,1198,false,428418323660165120
Twitter for Android,With one of the worst and most prolonged cold spells in history with Atlanta Texas and parts of Florida freezing- Global Warming anyone?,01-30-2014 02:46:32,291,261,false,428720857532600320
Twitter Web Client,Obama said in his SOTU that “global warming is a fact.” Sure about as factual as “if you like your healthcare you can keep it.”,01-30-2014 18:14:29,1187,984,false,428954382915223552
Twitter Web Client,Watch commodity prices soar because of the freezing cold. Will be bad for the economy. We could use some global warming.,02-03-2014 19:48:09,123,114,false,430427507574046720
Twitter for Android,Massive record setting  snowstorm and freezing temperatures in U.S. Smart that GLOBAL WARMING hoaxsters changed name to CLIMATE CHANGE! $$$$,02-05-2014 10:57:14,719,428,false,431018674695442432
Twitter for Android,When will our country stop wasting money on global warming and so many other truly "STUPID" things and begin to focus on lower taxes?,02-05-2014 11:01:42,454,329,false,431019797040869376
Twitter Web Client,A big part of the country even the southern states is under massive attack from snow and freezing cold. Global warming anyone?,02-13-2014 18:46:55,383,327,false,434035975702843392
Twitter for Android,Don't let the GLOBAL WARMING wiseguys get away with changing the name to CLIMATE CHANGE because the FACTS do not let GW tag to work anymore!,02-17-2014 12:39:36,370,209,false,435393088383889408
Twitter for Android,It's not climate changeit's global warming.Don't let the dollar sucking wiseguys change names midstream because the first name didn't work,02-18-2014 00:38:39,545,437,false,435574043354611712
Twitter Web Client,Congrats to Charles @krauthammer for his statements on climate change formerly known as global warming!,02-26-2014 21:22:17,75,91,false,438786119116001280
Twitter for Android,Baltimore just set a record for the coldest day in March in a long recorded history - 4 degrees. Other places likewise. Global warming con!,03-04-2014 11:29:03,210,183,false,440811151283486720
Twitter for Android,In New York March was the coldest month in recorded history - we could use some GLOBAL WARMING!,04-01-2014 12:06:24,226,234,false,450967412343840768
Twitter for Android,The global warming we should be worried about is the global warming caused by NUCLEAR WEAPONS in the hands of crazy or incompetent leaders!,05-08-2014 03:53:48,4667,3892,false,464251796354269184
Twitter for Android,I wonder if when Secy. Kerry goes to Iraq and Afghanistan he pushes hard for them to look at GLOBAL WARMING and study the carbon footprint?,06-23-2014 16:26:10,101,117,false,481110978990313473
Twitter for Android,Record cold temperatures in July - 20 to 30 degrees colder than normal. What the hell happened to GLOBAL WARMING?,07-14-2014 22:33:40,364,331,false,488813607958757376
Twitter for Android,They only changed the term to CLIMATE CHANGE when the words GLOBAL WARMING didn't work anymore. Come on people get smart!,07-14-2014 23:19:46,434,356,false,488825209189711873
Twitter for Android,The only global warming that people should be concerned with is the global warming caused by nuclear weapons because of our weak U.S. leader,07-15-2014 00:22:47,385,409,false,488841069451149312
Twitter for Android,Tremendous cold wave hits large part of U.S. Lucky they changed the name from global warming to climate change - G.W. just doesn't work!,07-16-2014 12:11:40,137,177,false,489381851350319107
Twitter for Android,It's late in July and it is really cold outside in New York. Where the hell is GLOBAL WARMING??? We need some fast!  It's now CLIMATE CHANGE,07-29-2014 01:47:29,410,409,false,493935815207043072
Twitter Web Client,Windmills are the greatest threat in the US to both bald and golden eagles. Media claims fictional ‘global warming’ is worse.,09-09-2014 20:19:52,603,355,false,509436043368873984
Twitter Web Client,Great article on so-called climate change formerly known as global warming. http://t.co/fEYAhQ7lGB,09-17-2014 14:26:26,125,97,false,512246203967619072
Twitter for Android,As ISIS and Ebola spread like wildfire the Obama administration just submitted a paper on how to stop climate change (aka global warming).,10-14-2014 03:17:34,1244,1173,false,521862351218573312
Twitter for Android,Just out - the POLAR ICE CAPS are at an all time high the POLAR BEAR population has never been stronger. Where the hell is global warming?,10-29-2014 09:15:04,402,434,false,527388136306143232
Twitter for Android,The entire country is  FREEZING - we desperately need a heavy dose of global warming and fast! Ice caps size reaches all time high.,11-17-2014 04:24:34,508,498,false,534200399025438720
Twitter Web Client,Just like Jonathan Gruber viciously lied &amp; called Americans “stupid” on ObamaCare many consultants are doing the same on Global Warming.,11-18-2014 15:30:26,114,125,false,534730356524855296
Twitter for Android,There are many Jonathan Gruber types selling the global warming "stuff" - and they really do believe the American public is stupid.,11-19-2014 00:59:19,261,201,false,534873520996888577
Twitter Web Client,For those that constantly say that “global warming” is now “climate change”—they changed the name. The name global warming wasn’t working,11-19-2014 16:10:08,278,282,false,535102735830773760
Twitter for Android,It's record cold all over the country and world - where the hell is global warming we need some fast!,01-08-2015 10:21:08,456,467,false,553134298182979586
Twitter for Android,Where the hell is global warming when you need it?,01-26-2015 23:18:05,1144,1029,false,559852809232060417
Twitter for Android,Record low temperatures and massive amounts of snow. Where the hell is GLOBAL WARMING?,02-15-2015 04:23:45,756,808,false,566815101349810176
Twitter for Android,Wow 25 degrees below zero record cold and snow spell. Global warming anyone?,02-15-2015 23:37:13,525,597,false,567105378132172800
Twitter for Android,Among the lowest temperatures EVER in much of the United States. Ice caps at record size. Changed name from GLOBAL WARMING to CLIMATE CHANGE,02-18-2015 12:17:41,266,354,false,568021533131718656
Twitter for Android,Record setting cold and snow ice caps massive! The only global warming we should fear is that caused by nuclear weapons - incompetent pols.,02-19-2015 12:33:06,188,247,false,568387798924963840
Twitter for Android,It's really cold outside they are calling it a major freeze weeks ahead of normal. Man we could use a big fat dose of global warming!,10-19-2015 13:30:30,7369,10741,false,656100109386674176
